가게명,Review
여기가좋겠네,맛 ⭐⭐⭐서비스⭐ 1개도 아까움 구러나 사장님은 친절..종업원은 목소리는 왜케 낮고 들리지도 않고 일하기싫은가?아픈가?도대체 이해를 못함
여기가좋겠네,맛 6 10 처음에 덜 졸여서 먹으면 살에서 잡내나고 그러는데 센불에 오래 졸여서 먹으면 짭짤하고 마늘향도 많이 나서 닭내도 덜 나고 꽤 먹을만해 진다 가격 8 10성인 남성 둘이서 1만8천원에 배불리 먹어서 가성비는 좋은듯 함위생 나눠준 그릇에 긴 머리카락 있었고 숟가락에 밥인가가 말라 붙어 있었음 사진 찍기에는 좀 그래서 안 찍음친절 4 10절대 친절하다고 말할수가 없음불친절하다고 다른 댓글에 얘기가 많은데어느 정도 공감함 예민하면 거슬릴수 있다고 생각함 하지만 사장님이 조금 신경 써주셔서 좀 더 맛있게 먹어 그 점은 좋았음 결론 가격과 맛을 생각하면 먹을만 하지만 직원분들을 보면 다시 가고 싶은 생각은 없어짐
여기가좋겠네,가성비 굳굳굳 글고 사장님 넘 친절하셨어요
여기가좋겠네,맛도 가격도 최고이지만 종업원은 최악. 일 하기 싫으면 집 가서 쉬어야지.
여기가좋겠네,초심 잃었다 확실히사장 이제 주방 밖에서 안 못 나오는 것 같고종업원 인성 교육 필요
여기가좋겠네,고기떡볶이 닭볶음탕 모두 확실히 구분되게 맛있습니다. 방송보고 집에서 여러번 흉내 보고 나서 먹어보고 하는 말임.. 대기가 항상 많아 인근에서 일하면서 엄두도 못냈는데 비가 와서 다행히 대기가 길지 않았습니다. 바쁜 와중에도 일하시는 분들 친절하십니다. 30 40대 남자 네 명이서 고기떡볶이 대짜리 먹었는데 양은 충분했습니다.
여기가좋겠네,보통 의 맛...!
여기가좋겠네,우리만음식 늦게나옴 우리보다늦게온사람이 먼저 받네
여기가좋겠네,극찬받은 고기떡볶이 골목식당맛집이라는 선입견없이 먹으면 맛있은데 찾아찾아갈 정도의 맛은 쫌 제육볶음에 떡넣은 맛임. 암튼 먹긴했으나 다시 찾을 정도는 아니며 음식에 치실같고 양파망같은 것이 나와서 더 잘 먹었습니다
여기가좋겠네,괜찮은 편입니다. 고기떡볶이 소스로 닭 볶음탕 우려냈으면 하는 아쉬움이 있네요
여기가좋겠네,가성비갑.....닭도리의 궁물을 한입 먹는순간..입술이 쩍쩍.. . 그리고..바로 이슬이를 부르는 맛...배불러서 나머지는 포장해왔던...아주 인상깊은집.. . 대기할때 의자가 놓여있어서 기다리기 편함 . .
여기가좋겠네,닭도리탕의 가격은 저렴하긴 한데 줄설정도는 아닌거 같다. 고기떡볶이도 백종원 방송처럼 허허 요거 맛있네 할정도는 아니었음. 닭도리탕은 단맛이 나지 않아서 좋았지만 졸이고 난후 뒷맛이 약간 텁텁했다. 좋은점은 소주 청하 매화수가 모두 3500원이었던거.... 2019.4 기준
여기가좋겠네,결론 부터 말하자면 별로에요 평일 웨이팅 2시간 3시간 내일 23일 기준으로 옆으로 이전하니 웨이팅은 어느정도 해결되겠지만 기본 고추장 간장 소스 비율이 높아서 짜요 맛있게먹는 법대로 막으면 너무 짜요 닭볶음탕보다 떡볶이 베이스에더가까워요 떡은 쫄깃 하니 맛있어요 가성비 따지는 대학생시절에 그냥 부담없이 한끼 모여서 한끼 먹을만한 집이지 기다리면서 찾아가면서 먹기엔 너무 맛이없어요 집에서 해드시는걸 추천합니다.
여기가좋겠네,이번주에 가봐야겠어요..기대점수별이 다섯개
여기가좋겠네,마늘향이 너무 강함...
여기가좋겠네,그냥 학생일때 가성비 따지면 갈만한 곳.
여기가좋겠네,완전별로예요다시는 안갈거임!!!
여기가좋겠네,밥 먹고 와서 두명이서 소자에 공기밥 하나 시키니까 남는게 없다며 엄청 뭐라함그 뒤도로 쓰잘때기 없는걸로 계속 궁시렁 거리면서 뭐라함 결국 공기밥 2개 시키니까 그제야 조용함조미료 가득한 맛다시는 방문 안할거임
여기가좋겠네,가성비 좋고 맛도 나쁘지 않아요. 좁은게 아쉽다.
여기가좋겠네,가격도 맛도 나쁘지 않습니다
여기가좋겠네,평범하지만 아주 맛있는 가격도 합리적인 여기가 좋겠네
언니네함바그,외대 주변 최고 맛집⭐️처음 먹었던게 무려 6년전 인데도 여전히 맛있어요특히 매콤함박에 치즈추가 강추합니다 가게내부도 너무 아기자기하고 귀여워요사장님이 검정치마 뉴진스 팬이신듯해요
언니네함바그,처음 가봤는데 너무 맛있었습니다싸장님도 친절하시고한데 홀 직원은 좀 무뚝남자가 먹기엔 양이 좀 적은느낌은 나지만암튼 맛은 훌륭했습니다재방문의사 있습니다
언니네함바그,️맛부터 식감까지 아주 섬세하게 맛있다 ️숙주가 맛도리 가성비도 굿 아기자기하고 귀엽지만 좌석 수 좀 늘려줬으면 좋겠다
언니네함바그,칼을들고 써는순간 노른자가 톡 터지는 부분에서 행복해졌다..개인적으로 숙주를 더 왕창 넣어줬으면 좋을 듯수제피클과 데미그라스 소스가 좋았던 집입니다
언니네함바그,함바그가 8500원 시절부터 다녔습니다.....정말 늘 맛있고 매콤에 치즈 추가..... 임 이문동의 자랑 이문동 맛집의 빛......다른 친구들 오면 무조건 여기 가요 맛있거든
언니네함바그,언함 사랑함
언니네함바그,맛 가격 친절 뭐 하나 빠지는 게 없음. 여기 함박 스테이크 경험해보면 다른 데서 함박 스테이크 못 먹음. 객관적으로 창렬은 아닐 수 있어도 여기에 비해 주관적으로 창렬이라.
언니네함바그,
언니네함바그,가지마세요 저만갈래요
언니네함바그,매콤함바그 자주 먹는데 맛있어요!
언니네함바그,6000원이였던 때가 있었는데
언니네함바그,소스가 너무 맛있어요
언니네함바그,언니네.함바그맛있게 먹었던 곳입니다친절하시고 좋아요
언니네함바그,식사시간보다 조금 빨리갔는데 앉은 지 얼마 안돼서 금방 웨이팅이 생겼다.함박스테이크 좋아한다면 가봐도 나쁘지 않을 곳직원분 친절하셨다
언니네함바그,맛은 솔직히 취향이 아니었습니다. 간은 맞는데 풍미가 너무 부족한 느낌.. 양은 가격 대비 혜자인것 같습니다. 직원분들도 친절가격 15 20맛 10 20서비스 10 10총점 35 50
언니네함바그,맛있어요!!
언니네함바그,고기 잡내 살짝 나는거 빼곤 괜찮아요
언니네함바그,양도많고 맛있어요
언니네함바그,괜찮았어용
언니네함바그,친절하시고 변함없는맛집애정하는 곳이예요
언니네함바그,가게 분위기도 좋고 음식도 너무 맛있습니다!!
언니네함바그,사장님도 너무 친절하시고 홀이나 매장이나 항상 기복없이 맛있어요! 위에 올려주는 감자튀김이랑 숙주가 맛있어요
언니네함바그,매콤함바그 너무 맛있음 이전해서 멀어져서 잘 안가게 됐지만.. 그래도 항상 생각나는 곳
언니네함바그,매콤 함바그는 맵찔이에게 너무 매웠어요. 같이 간 남자친구는 엄청 맛있대요. 다음번엔 다른 메뉴를 먹어보고 싶어요.
언니네함바그,자주먹었는데도 정말 맛이써용 저는 매콤함바그를 좋아합니다 !! 하이볼도 맛이써요
언니네함바그,사장님 너무 친절하시고 함바그도 엄청 맛있어요 저 여기 찐단골이에요 오래오래 영업하세요 제발
언니네함바그,대박 가격대비 양 많고 너무 맛있네요 . 지나갈때마다 손님이 점점 느는거 보고 갔는데 괜히 그런게 아니었네요같이 나오는 샐러드랑 밥도 많이 주셔서 맛있게 먹었습니다 굿굿
언니네함바그,함박스테이크 넘 맛있어요. 그리고 정말 친절하세요. 항상 포장해서 먹었는데 가서 먹으니까 더 맛있네요👍
언니네함바그,함바그랑 숙주가 이렇게 잘어울릴 일인가요..?
언니네함바그,종종 생각나는곳. 이 집 만의 소스와 숙주 궁합이 좋아요! 알바생분도 친절하고 회기맛집으로 추천합니다. 치즈함바그 추천.
언니네함바그,진짜 맛있고 친절하세요 포장도 굿굿
언니네함바그,동네 함바그 원티어 입니다!!!맛과 양 어느것도 빠지지 않는 집!!
언니네함바그,맛있는데 가격이 조금 있고 나중에 다시 생각나진 않아요.
언니네함바그,맛있고 푸짐하구 가격두 좋고 ! 늘 마감 때 깨끗이 청소하시는 모습이 보기 좋아요
언니네함바그,매콤 치즈추가 주문 했어요.일식 함박?? 바닦에 숙주볶음이 깔려있고 함바그 특성상 매콤으로 했는데도 먹다보니 중간쯤 좀 느끼하더라구요. 타바스코 같은 소스 없음 맛은 괜찮습니다.
언니네함바그,부드럽고 맛있고 가격도 괜찮아요
언니네함바그,이 가격에 이 정도 양이면 혜자라고 생각합니다!사진은 치즈 함바그 M 0.8
언니네함바그,좋아용
언니네함바그,처음 가봤는데 엄청 맛있었어요!알바생님도 똘망똘망하고 친절하셔서 너무 좋았습니다!! 자주 올게요 __
언니네함바그,짱좋아요 이동네를 떠나게되면 진짜 그리울거에요
언니네함바그,양이 많아요 포장하면 2끼 먹을수 있어여 매콤함바그
언니네함바그,깔끔하고 좋았습니다. 매콤한 맛에 치즈얹는거 강추
언니네함바그,언함 좋아하는데 별점이 왜 이러냐면요... 초파리 때문에 미치는 줄 알았읍니다 초파리함바그입니까?????? 에어커튼을 설치하시든지 어떻게 해결해주세요. 일단 밥 먹는데 옆에서 초파리 교미하고 있고 음 내 무피클도 뺏어먹고 내 함바그도 뺏어먹고 하하하하하하하 덕분에 사분의 일은 기부하고 왔어요 젭알젭알 초파리 좀 어케 해주세요. 솔직히 평소에 컵이랑 포크 위생 상태도 별로 안 깨끗했는데 초파리 여섯마리가 한 테이블에 있는 건 오 바 자 나
언니네함바그,그냥저냥무난하게한끼먹을수있었어요특별한맛은아니지만 한끼때우기좋아요소스는좀적게느껴졌어요
안녕유부,무난해요 24.09.02
안녕유부,가격은 좀 있는 편이지만 유부가 매우 맛있음!
안녕유부,리뷰이벤트로 유부초밥 서비스로 받았고 친절해요
안녕유부,찐맛집 비싼듯 괜찮음.어묵우동 대박.유부의 반란.
안녕유부,맛있어요! 리뷰이벤트로 엄청 큰 소고기김치 유부초밥 하나 공짜! 이런 집은 복 받아야죠. 엄청 잘 먹고 갑니다.
안녕유부,적당히 맛있지만 얕은 맛
안녕유부,진짜속 실하고 맛있어요 도제 랑 비슷항맛!같이주는우동국물도 허사롭지않은맛 담라캔디도 디저트로 주십니다! 재방문의사있어요
안녕유부,친절하고 가격도 괜찮아서 좋아요.간식으로 유부초밥 1 2개 먹어도 되고 식사로는 여러개 먹거나 우동이랑 시킬수도 있어서 좋습니다!개인적으로 떡볶이 소스는 좋아하는데 떡을 싫어하는 편이라 우동볶이.. 완전 딱 좋았어요 사진보다 실제 유부초밥에 토핑이 더 많아요!! 생긴지 얼마안됐는데 한달에 한번씩은 먹는듯
안녕유부,와 여기 너무 맛나요! 우동 유부 모두 취저!
회기왕갈비탕,1.6만원 짜리인데 갈비대는 살조금 붙은 거 하나에 감자탕에서 볼법한 뼈덩이 3개 나옵니다.저 가격이면 다른 갈비탕집 가도 제대로 갈비대에 살 튼실히 붙은 갈비탕을 먹을 수 있는데 좀 심한거 같아요. 양이 많다는 댓글 왜달리는지 이해가 안가네요.
회기왕갈비탕,양도많고 가격도 괜찮은편입니다
회기왕갈비탕,너무맛있게잘먹었습니다 국물맛 깔끔하고 고기도많이붙어있네요밥과미숫가루도 무한리필이라 괜찬네요
회기왕갈비탕,
회기왕갈비탕,맘먹고 기대하는 맘으로 갔는데저녁 7시에 예약손님 30명 받았다고그대로 나가라는..빈자리가 절반인데 나가라길래예약손님 30명때매 재료가 부족한가?싶어서 물어보니그건 아닌데요..???그제서야 1인자리 없어서기다려야 할것같아요 이러고 있네두명이서 왔는데 무슨 1인좌석 타령임?아하 이제 생각해보니 일행이랑따로따로 먹고 가라는건가.. 좋은경험하고갑니다!옆에 고기하다에서 맛나게 먹었습니다
회기왕갈비탕,국물맛이 깔끔하고 더부룩하지가 않아용가격은 정성에비하면 싸다고 생각함
회기왕갈비탕,좀 비싼데 맛있음 자꾸생각남
회기왕갈비탕,깔끔하고 맛있는 집이다갈비탕
회기왕갈비탕,밥은 셀프고 깍두기도 셀프다 뭘안준다거 ?고기는 다발라서 접시에담아놓고 고기살없다고 구라를 치질않나 어이없어서 평균댓글점수보니 삶의불만만 가득한놈들이구나 평생 그렇게 찌질하게.악플이다 달며 살아라 하나도도움이안됀다
회기왕갈비탕,소갈비찜엄청 맛나게푸짐하게 잘먹었네요 사진 보세요
회기왕갈비탕,인테리어 너무 화려하지만 음식은 별로였습니다. 비싼 거 비해 갈비에 붙어있는 고기가 너무 조금밖에 없었어요
회기왕갈비탕,아롱사태갈비탕 15000원 비싸긴 하지만 그만큼 고기도 많고 맛있었습니당.! 슴슴하다는 후기도 있던데 원래 짜게 먹는 거 좋아하는 저한테도 딱 괜찮은 간이어서 아무것도 안 넣고 먹었어요! 뜨거워서 엄청 호호 뷸면서 먹었어용
회기왕갈비탕,맛도 고기에서 냄새 나구 지단도 안주고 대학교 앞인데 값은 높으며 밥은 없음. 깍두기는 3조각 안경쓴 여자분의 대응은 밋밋 도대체 외국사람들만 왔다 간건지 별점에 비해 최악 이었네요 먹다 버림
회기왕갈비탕,간이 안되어있어 슴슴하다. 고기 많이 먹고 싶으면 아롱사태 갈비탕을 시키라고 써있었는데 정말이지 사실이다. 갈빗대에 붙은 고기는 야들이고 아롱사태 수육은 쫄깃하다. 국물은 육향이 가득하면서 깔끔하다. 처음 먹을때는 꼭 후추와 소금을 넣지 말고 먹어볼 것.
